"開催日","出品番号","レーン区分","構成","総数","メーカー","商品名","型番","シリーズ名","個品ID","表示順","Ｓ／Ｎ","CPU（性能）","RAMサイズ","RAMサイズメモ","ＨＤ容量","ＨＤ容量メモ","ドライブ","液晶","COA","仕様","状態","症状","詳細","備考","補足","その他","保証書有無","電源ケーブル有無","接続ケーブル有無","ガイド有無","リカバリ","OFFICE","付属品","落札価格","落札料","個品ID(バーコード)","個品ID(バーコード-Excel)","応札会場"
"20260106",2599,"B","セット","5","","ｼﾝｸﾗｲｱﾝﾄNTPCｾｯﾄ","MT45ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",84000,4085,"","=""""","関東"
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721640",1,"5CG0213XZG","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216403","=""*00037216403Q*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721639",2,"5CG0242892","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216393","=""*00037216393Y*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721638",3,"5CG0213XPT","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216383","=""*00037216383X*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721642",4,"5CG02427Y2","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216423","=""*00037216423S*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721641",5,"5CG024288L","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216413","=""*00037216413R*""",""
"20260106",2600,"B","セット","5","","NTPCｾｯﾄ","PROBOOK450G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",47000,3495,"","=""""","関東"
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721365",1,"JPH003Y85Y","C(4205U)-1.8GHZ","8GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213653","=""*00037213653U*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721366",2,"JPH014J15T","C(4205U)-1.8GHZ","8GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213663","=""*00037213663V*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721362",3,"JPH014J15R","C(4205U)-1.8GHZ","4GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213623","=""*00037213623R*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721363",4,"JPH022R2SM","C(4205U)-1.8GHZ","4GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213633","=""*00037213633S*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721364",5,"JPH022R2SQ","C(4205U)-1.8GHZ","4GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213643","=""*00037213643T*""",""
"20260106",5246,"C","セット","3","","NTPCｾｯﾄ","ELITEBOOK830G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",45000,3495,"","=""""","関東"
"20260106",5246,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721940",1,"JPH004Z82N","CI3(8145U)-2.1GHZ","16GB","","512GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219403","=""*00037219403T*""",""
"20260106",5246,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721939",2,"JPH004Z826","CI3(8145U)-2.1GHZ","16GB","","512GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219393","=""*00037219393.*""",""
"20260106",5246,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721938",3,"JPH004Z82J","CI3(8145U)-2.1GHZ","16GB","","512GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219383","=""*00037219383-*""",""
"20260106",5253,"C","セット","3","","NTPCｾｯﾄ","ELITEBOOK830G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",40000,3495,"","=""""","関東"
"20260106",5253,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724438",1,"JPH023S6Z7","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244383","=""*00037244383Y*""",""
"20260106",5253,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724437",2,"JPH023S7C6","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244373","=""*00037244373X*""",""
"20260106",5253,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724436",3,"JPH025V6NW","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244363","=""*00037244363W*""",""
"20260106",5254,"C","セット","4","","NTPCｾｯﾄ","ELITEBOOK830G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",51000,4085,"","=""""","関東"
"20260106",5254,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724432",1,"JPH023S7X5","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244323","=""*00037244323S*""",""
"20260106",5254,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724431",2,"JPH022QZCF","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244313","=""*00037244313R*""",""
"20260106",5254,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724430",3,"JPH023S6XC","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244303","=""*00037244303Q*""",""
"20260106",5254,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003724429",4,"JPH022QZMC","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037244293","=""*00037244293Y*""",""
"20260106",5258,"C","セット","3","","NTPCｾｯﾄ","ELITEBOOK830G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",50000,4085,"","=""""","関東"
"20260106",5258,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721929",1,"5CG02175NH","CI5(8365U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219293","=""*00037219293-*""",""
"20260106",5258,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721928",2,"5CG02175NT","CI5(8365U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219283","=""*00037219283Z*""",""
"20260106",5258,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003721927",3,"5CG02175P0","CI5(8365U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037219273","=""*00037219273Y*""",""
"20260106",5264,"C","セット","3","","NTPCｾｯﾄ","ELITEBOOK830G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",50000,4085,"","=""""","関東"
"20260106",5264,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003715174",1,"JPH022QZC5","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151743","=""*00037151743V*""",""
"20260106",5264,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003715173",2,"5CG9401MV1","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151733","=""*00037151733U*""",""
"20260106",5264,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003715172",3,"JPH023S7WX","CI5(8265U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151723","=""*00037151723T*""",""
"20260106",5269,"C","セット","4","","ﾀﾌﾞﾚｯﾄPCﾎｶ","ELITEBOOKX360-1030G3ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",66000,4085,"","=""""","関東"
"20260106",5269,"C","","","ＨＰ","ﾀﾌﾞﾚｯﾄPC","ELITEBOOKX360-1030G3","","0003715194",1,"5CD8481G1S","CI5(8250U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ、タッチ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151943","=""*00037151943X*""",""
"20260106",5269,"C","","","ＨＰ","ﾀﾌﾞﾚｯﾄPC","ELITEBOOKX360-1030G3","","0003721937",2,"5CD9080Z67","CI5(8250U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","-","SSD、カメラ、タッチ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037219373","=""*00037219373Z*""",""
"20260106",5269,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003715171",3,"JPH004Z829","CI3(8145U)-2.1GHZ","16GB","","512GB","","ﾅｼ","13.3","-","SSD、カメラ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151713","=""*00037151713S*""",""
"20260106",5269,"C","","","ＨＰ","NTPC","ELITEBOOK830G6","","0003715170",4,"JPH004Z827","CI3(8145U)-2.1GHZ","16GB","","512GB","","ﾅｼ","13.3","-","SSD、カメラ","部取","BIOS確認可","","","","","無","有","無","無","","","",,,"00037151703","=""*00037151703R*""",""
"20260106",9107,"D","セット","2","","ﾀﾌﾞﾚｯﾄｾｯﾄ","IPAD8WI-FI/32GBﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",20000,3495,"","=""""","関東"
"20260106",9107,"D","","","アップル","ﾀﾌﾞﾚｯﾄ","IPAD8WI-FI/32GB","A2270","0003724253",1,"H97DVQPQQ1GD","","","","32GB","","","10.2","","カメラ、RETINAディスプレイ","部取","スペックのみ","カラー:SL","","","","無","有","無","無","","","",,,"00037242533","=""*00037242533T*""",""
"20260106",9107,"D","","","アップル","ﾀﾌﾞﾚｯﾄ","IPAD8WI-FI/32GB","A2270","0003724249",2,"H97DVJB6Q1GD","","","","32GB","","","10.2","","カメラ、RETINAディスプレイ","部取","スペックのみ","カラー:SL","","","","無","有","無","無","","","",,,"00037242493","=""*00037242493Y*""",""
"20260106",9113,"D","セット","2","","NTPCｾｯﾄ","MACBOOKPROCI5-2300ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",42000,3495,"","=""""","関東"
"20260106",9113,"D","","","アップル","NTPC","MACBOOKPROCI5-2300","A1708","0003715519",1,"FVFWH0EKHV2H","CI5(7360U)-2.3GHZ","16GB","","1024GB","","ﾅｼ","13.3","","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","カラー:BK","","","","無","無","無","無","","","ADPのみ",,,"00037155193","=""*00037155193Y*""",""
"20260106",9113,"D","","","アップル","NTPC","MACBOOKPROCI5-2300","A1708","0003715537",2,"FVFWC0BUHV2F","CI5(7360U)-2.3GHZ","8GB","","512GB","","ﾅｼ","13.3","","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","カラー:BK","","","","無","無","無","無","","","ADPのみ",,,"00037155373","=""*00037155373Y*""",""
"20260106",9126,"D","セット","2","","NTPCｾｯﾄ","MACBOOKAIRCI5-1600ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",19000,3495,"","=""""","関東"
"20260106",9126,"D","","","アップル","NTPC","MACBOOKAIRCI5-1600","A1466","0003715534",1,"C1MQN8DRG944","CI5(5250U)-1.6GHZ","8GB","","256GB","","ﾅｼ","13.3","","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","カラー:SL","","","","無","有","無","無","","","",,,"00037155343","=""*00037155343V*""",""
"20260106",9126,"D","","","アップル","NTPC","MACBOOKAIRCI5-1300","A1465","0003715520",2,"C02MF38LF5N7","CI5(4250U)-1.3GHZ","4GB","","128GB","","ﾅｼ","11.6","","SSD、カメラ","ＮＯ","完全未検査(通電のみ)","カラー:SL","","","","無","無","無","無","","","",,,"00037155203","=""*00037155203Q*""",""
"20260106",9134,"D","セット","6","","AIOﾎｶ","IMACCI5-1600ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",31000,3495,"","=""""","関東"
"20260106",9134,"D","","","アップル","AIO","IMACCI5-1600","A1418","0003652662",1,"C02SF0R7GF1J","CI5(5250U)-1.6GHZ","8GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","無","無","無","","","",,,"00036526623","=""*00036526623X*""",""
"20260106",9134,"D","","","アップル","AIO","IMACCI5-2700","A1418","0003652661",2,"C02PC2MYF8J2","CI5(4570R)-2.7GHZ","8GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","無","無","無","","","",,,"00036526613","=""*00036526613W*""",""
"20260106",9134,"D","","","アップル","AIO","IMACCI5-1400","A1418","0003652660",3,"C02MXLT8FY0T","CI5(4260U)-1.4GHZ","8GB","","500GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","無","無","無","","","",,,"00036526603","=""*00036526603V*""",""
"20260106",9134,"D","","","アップル","CSPC","MACMIMICI7-3000","A1347","0003652688",4,"C07W203JG1J2","CI7(4578U)-3GHZ","16GB","","512GB","","ﾅｼ","","","SSD","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","無","無","無","","","",,,"00036526883","=""*00036526883+*""",""
"20260106",9134,"D","","","アップル","CSPC","MACMIMICI5-1400","A1347","0003652686",5,"C07QL1S3G1HV","CI5(4260U)-1.4GHZ","4GB","","500GB","","ﾅｼ","","","","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","無","無","無","","","",,,"00036526863","=""*00036526863$*""",""
"20260106",9134,"D","","","アップル","CSPC","MACMIMICI5-1400","A1347","0003652687",6,"C07RD0DKG1HV","CI5(4260U)-1.4GHZ","4GB","","500GB","","ﾅｼ","","","","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","無","無","無","","","",,,"00036526873","=""*00036526873/*""",""
"20260106",9135,"D","セット","2","","AIOｾｯﾄ","IMACCI5-2300ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",27000,3495,"","=""""","関東"
"20260106",9135,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721469",1,"C02WK00TH7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","KB",,,"00037214693","=""*00037214693Z*""",""
"20260106",9135,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721470",2,"C02TV23ZH7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","KB",,,"00037214703","=""*00037214703R*""",""
"20260106",9136,"D","セット","2","","AIOｾｯﾄ","IMACCI5-2300ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",33000,3495,"","=""""","関東"
"20260106",9136,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721471",1,"C02TV249H7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037214713","=""*00037214713S*""",""
"20260106",9136,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721476",2,"C02TV23WH7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","純箱",,,"00037214763","=""*00037214763X*""",""
"20260106",9137,"D","セット","2","","AIOｾｯﾄ","IMACCI5-2300ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",23000,3495,"","=""""","関東"
"20260106",9137,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721472",1,"C02TV23TH7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","無","無","無","","","",,,"00037214723","=""*00037214723T*""",""
"20260106",9137,"D","","","アップル","AIO","IMACCI5-2300","A1418","0003721473",2,"C02TV23MH7VF","CI5(7360U)-2.3GHZ","16GB","","1000GB","","ﾅｼ","21.5","","カメラ","ＮＯ","完全未検査(通電のみ)","","","","","無","無","無","無","","","",,,"00037214733","=""*00037214733U*""",""
